frame,time_s,protocol,info,wpan_cmd,wpan_src64,wpan_dst64,wpan_src16,wpan_dst16,wpan_association_short,nwk_src,nwk_dst,nwk_src64,nwk_dst64,nwk_security,security_key_id,security_src64,decryption_key_label,aps_type,aps_src_ep,aps_dst_ep,aps_cluster,aps_profile,aps_cmd_id,aps_cmd_key_type,aps_cmd_device,zcl_mfg_code,zcl_tsn,zcl_cmd_id,zcl_rsp_to_cmd,zcl_attr_id,zcl_attr_status,zcl_attr_type,zcl_attr_uint8,zcl_attr_uint16,zcl_attr_uint24,zcl_attr_uint32,zcl_attr_bitmap8,zcl_attr_bitmap16,zcl_attr_bitmap32,zcl_attr_str,zcl_attr_ostr,zcl_attr_bytes
120,7.170575000,,,,,,0x5ab9,0xffff,,0xadeb,0xfffd,00:17:88:01:0b:89:54:2f,,True,0x01,00:17:88:01:0d:40:7d:92,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
121,7.172888000,,,,,,0x2067,0xffff,,0xadeb,0xfffc,,,True,0x01,00:17:88:01:0b:e4:de:3f,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
122,7.178988000,,,,,,0xd938,0xffff,,0xadeb,0xfffd,00:17:88:01:0b:89:54:2f,,True,0x01,00:17:88:01:0b:e5:d3:80,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
123,7.181072000,,,,,,0xdf07,0xffff,,0xadeb,0xfffc,,,True,0x01,00:17:88:01:0d:4d:b3:57,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
124,7.186572000,,,,,,0xef71,0xffff,,0xadeb,0xfffc,,,True,0x01,00:17:88:01:0d:40:7b:ed,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
125,7.189346000,,,,,,0xb733,0xffff,,0xadeb,0xfffc,,,True,0x01,00:17:88:01:0b:e5:1c:99,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
126,7.192532000,,,,,,0x2067,0xffff,,0xadeb,0xfffd,00:17:88:01:0b:89:54:2f,,True,0x01,00:17:88:01:0b:e4:de:3f,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
127,7.195450000,,,,,,0xfc87,0xffff,,0xadeb,0xfffd,00:17:88:01:0b:89:54:2f,,True,0x01,00:17:88:01:0d:4d:b0:91,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
128,7.198260000,,,,,,0x5ab9,0xffff,,0xadeb,0xfffc,,,True,0x01,00:17:88:01:0d:40:7d:92,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
129,7.201317000,,,,,,0xef71,0xffff,,0xadeb,0xfffd,00:17:88:01:0b:89:54:2f,,True,0x01,00:17:88:01:0d:40:7b:ed,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
130,7.207227000,,,,,,0xab54,0xffff,,0xadeb,0xfffd,00:17:88:01:0b:89:54:2f,,True,0x01,00:17:88:01:0d:21:75:48,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
131,7.210321000,,,,,,0xdc60,0xffff,,0xadeb,0xfffd,00:17:88:01:0b:89:54:2f,,True,0x01,00:17:88:01:0c:94:0f:b8,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
