frame,time_s,protocol,info,wpan_cmd,wpan_src64,wpan_dst64,wpan_src16,wpan_dst16,wpan_association_short,nwk_src,nwk_dst,nwk_src64,nwk_dst64,nwk_security,security_key_id,security_src64,decryption_key_label,aps_type,aps_src_ep,aps_dst_ep,aps_cluster,aps_profile,aps_cmd_id,aps_cmd_key_type,aps_cmd_device,zcl_mfg_code,zcl_tsn,zcl_cmd_id,zcl_rsp_to_cmd,zcl_attr_id,zcl_attr_status,zcl_attr_type,zcl_attr_uint8,zcl_attr_uint16,zcl_attr_uint24,zcl_attr_uint32,zcl_attr_bitmap8,zcl_attr_bitmap16,zcl_attr_bitmap32,zcl_attr_str,zcl_attr_ostr,zcl_attr_bytes
2659,100.879582000,,,,,,0x2067,0xffff,,0x2067,0xfffc,00:17:88:01:0b:e4:de:3f,,True,0x01,00:17:88:01:0b:e4:de:3f,,,,,,,,,,,,,,,,,,,,,,,,,,
2660,100.884600000,,,,,,0x0c67,0x0001,,0xdf07,0x0001,,,True,0x01,00:17:88:01:0e:10:a0:98,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
2661,100.885143000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,100.907824000,,,,,,0x0001,0x7a39,,0x0001,0xdf07,,,True,0x01,00:17:88:01:05:4f:59:f4,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
2663,100.913884000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664,100.974651000,,,,,,0xdf07,0x0c67,,0xdf07,0x0001,,,True,0x01,00:17:88:01:0d:4d:b3:57,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
2665,100.975193000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,100.983032000,,,,,,0x0c67,0x0001,,0xdf07,0x0001,,,True,0x01,00:17:88:01:0e:10:a0:98,,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
2667,100.983576000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2668,100.994488000,,,,,,0xfc87,0xffff,,0xfc87,0xfffc,00:17:88:01:0d:4d:b0:91,,True,0x01,00:17:88:01:0d:4d:b0:91,,,,,,,,,,,,,,,,,,,,,,,,,,
